trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.5, 'e': 1.5628821893349888e-18}",25,4,37.01559585177807,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 5.74952226429356e-19}",25,17,13.131654377413536,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 2.1151310375910807e-19}",20,12,16.763006632148663,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 7.781132241133797e-20}",35,17,28.37705529223663,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 2.8625185805493937e-20}",20,0,33.99239267957257,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 1.0530617357553813e-20}",20,9,25.063362852472153,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 3.873997628687187e-21}",25,11,26.094424814769233,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 1.4251640827409352e-21}",30,19,17.52586486429872,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 5.242885663363464e-22}",20,15,7.755768829376822,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 1.928749847963918e-22}",30,13,30.403625985679007,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 7.095474162284704e-23}",20,0,31.110817950349546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 2.6102790696677047e-23}",25,17,16.19521141512337,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 9.602680054508676e-24}",25,13,23.688109267722318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 3.532628572200807e-24}",25,17,16.575250961349667,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 1.299581425007503e-24}",20,12,15.061256585524312,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 4.780892883885469e-25}",25,15,20.679457287222334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 1.7587922024243116e-25}",20,8,26.910008038983737,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 6.47023492564546e-26}",20,8,23.972431501802376,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 2.3802664086944004e-26}",20,11,20.358942190496187,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 8.75651076269652e-27}",20,12,17.59662309924972,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
